GradeofOffense,Offenses not Fingerprinted,ReleaseDate,County
Misdemeanor,154,2015 Q3,Westmoreland
Felony,65,2015 Q3,Westmoreland
Summary,4,2015 Q3,Westmoreland
Unknown,0,2015 Q3,Westmoreland
