GradeofOffense,Offenses not Fingerprinted,ReleaseDate,County
Misdemeanor,138,2015 Q1,Westmoreland
Felony,66,2015 Q1,Westmoreland
Summary,5,2015 Q1,Westmoreland
Unknown,0,2015 Q1,Westmoreland
