GradeofOffense,Offenses not Fingerprinted,ReleaseDate,County
Misdemeanor,169,2015 Q4,Westmoreland
Felony,86,2015 Q4,Westmoreland
Summary,3,2015 Q4,Westmoreland
Unknown,0,2015 Q4,Westmoreland
