GradeofOffense,Offenses not Fingerprinted,ReleaseDate,County
Misdemeanor,3,2015 Q3,Huntingdon
Felony,2,2015 Q3,Huntingdon
Summary,0,2015 Q3,Huntingdon
Unknown,0,2015 Q3,Huntingdon
