GradeofOffense,Offenses not Fingerprinted,ReleaseDate,County
Misdemeanor,1,2015 Q3,Venango
Felony,0,2015 Q3,Venango
Summary,1,2015 Q3,Venango
Unknown,0,2015 Q3,Venango
