Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Middleburg Boro Police Dept,16,15,0.9375,93.75,Snyder,2015 Q4
Selinsgrove Boro Police Dept,10,10,1,100,Snyder,2015 Q4
Shamokin Dam Boro Police Dept,8,7,0.875,87.5,Snyder,2015 Q4
Snyder County District Attorney,2,2,1,100,Snyder,2015 Q4
