ID,County,Zip
0,York County,17070
0,York County,17302
0,York County,17309
0,York County,17311
0,York County,17312
0,York County,17313
0,York County,17314
0,York County,17315
0,York County,17317
0,York County,17318
0,York County,17319
0,York County,17321
0,York County,17322
0,York County,17323
0,York County,17327
0,York County,17329
0,York County,17331
0,York County,17332
0,York County,17333
0,York County,17334
0,York County,17335
0,York County,17339
0,York County,17342
0,York County,17345
0,York County,17347
0,York County,17349
0,York County,17352
0,York County,17354
0,York County,17355
0,York County,17356
0,York County,17358
0,York County,17360
0,York County,17361
0,York County,17362
0,York County,17363
0,York County,17364
0,York County,17365
0,York County,17366
0,York County,17368
0,York County,17370
0,York County,17371
0,York County,17401
0,York County,17402
0,York County,17403
0,York County,17404
0,York County,17405
0,York County,17406
0,York County,17407
0,York County,17408
0,York County,17415
0,Wyoming County,18419
0,Wyoming County,18446
0,Wyoming County,18615
0,Wyoming County,18625
0,Wyoming County,18629
0,Wyoming County,18636
0,Wyoming County,18657
0,Westmoreland County,15012
0,Westmoreland County,15062
0,Westmoreland County,15068
0,Westmoreland County,15069
0,Westmoreland County,15072
0,Westmoreland County,15083
0,Westmoreland County,15085
0,Westmoreland County,15087
0,Westmoreland County,15089
0,Westmoreland County,15448
0,Westmoreland County,15479
0,Westmoreland County,15601
0,Westmoreland County,15605
0,Westmoreland County,15606
0,Westmoreland County,15610
0,Westmoreland County,15611
0,Westmoreland County,15612
0,Westmoreland County,15613
0,Westmoreland County,15615
0,Westmoreland County,15616
0,Westmoreland County,15617
0,Westmoreland County,15619
0,Westmoreland County,15620
0,Westmoreland County,15621
0,Westmoreland County,15623
0,Westmoreland County,15624
0,Westmoreland County,15625
0,Westmoreland County,15626
0,Westmoreland County,15627
0,Westmoreland County,15628
0,Westmoreland County,15629
0,Westmoreland County,15632
0,Westmoreland County,15633
0,Westmoreland County,15634
0,Westmoreland County,15635
0,Westmoreland County,15636
0,Westmoreland County,15637
0,Westmoreland County,15638
0,Westmoreland County,15639
0,Westmoreland County,15640
0,Westmoreland County,15641
0,Westmoreland County,15642
0,Westmoreland County,15644
0,Westmoreland County,15646
0,Westmoreland County,15647
0,Westmoreland County,15650
0,Westmoreland County,15655
0,Westmoreland County,15656
0,Westmoreland County,15658
0,Westmoreland County,15660
0,Westmoreland County,15661
0,Westmoreland County,15662
0,Westmoreland County,15663
0,Westmoreland County,15664
0,Westmoreland County,15665
0,Westmoreland County,15666
0,Westmoreland County,15668
0,Westmoreland County,15670
0,Westmoreland County,15671
0,Westmoreland County,15672
0,Westmoreland County,15674
0,Westmoreland County,15675
