Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Clearfield Boro Police Dept,48,44,0.9166666666666666,91.66666666666666,Clearfield,2015 Q1
Clearfield County Sheriff,2,2,1,100,Clearfield,2015 Q1
Curwensville Boro Police Dept,10,7,0.7,70,Clearfield,2015 Q1
Decatur Township Police Dept,4,3,0.75,75,Clearfield,2015 Q1
Dubois City Police Dept,38,35,0.9210526315789473,92.10526315789474,Clearfield,2015 Q1
Lawrence Township Police Dept,30,28,0.9333333333333333,93.33333333333333,Clearfield,2015 Q1
Morris-Cooper Regl Police Dept,2,1,0.5,50,Clearfield,2015 Q1
Sandy Township Police Dept,36,33,0.9166666666666666,91.66666666666666,Clearfield,2015 Q1
