ID,county,PD,TP,P,NP,rate
31,Lackawanna,Univ Of Scranton Police Dept,4,2,2,50%
31,Lackawanna,Waverly Township Police Dept,8,8,0,100%
32,Jefferson,Brockway Boro Police Dept,42,35,7,83%
32,Jefferson,Brookville Boro Police Dept,123,86,37,70%
32,Jefferson,"Indiana, University PD",1,1,0,100%
32,Jefferson,Jefferson County District Attorney,23,14,9,61%
32,Jefferson,Jefferson County Sheriff,6,5,1,83%
32,Jefferson,Punxsutawney Boro Police Dept,89,67,22,75%
32,Jefferson,Reynoldsville Boro Police Dept,47,32,15,68%
32,Jefferson,Sykesville Boro Police Dept,11,8,3,73%
33,Indiana,Blairsville Borough Police Dept,49,27,22,55%
33,Indiana,Cherry Tree Boro Police Dept,4,2,2,50%
33,Indiana,Clymer Boro Police Dept,2,1,1,50%
33,Indiana,Homer City Boro Police Dept,13,1,12,8%
33,Indiana,Indiana Boro Police Dept,373,349,24,94%
33,Indiana,Indiana County Sheriff,2,2,0,100%
33,Indiana,"Indiana County, Detectives",32,19,13,59%
33,Indiana,"Indiana, University PD",65,54,11,83%
34,Huntingdon,Huntingdon Boro Police Dept,87,67,20,77%
34,Huntingdon,Huntingdon County District Attorney,15,10,5,67%
34,Huntingdon,Huntingdon County Sheriff,3,1,2,33%
34,Huntingdon,Mount Union Boro Police Dept,50,42,8,84%
35,Greene,Carmichaels Boro Police Dept,1,1,0,100%
35,Greene,Cumberland Township Police Dept,127,100,27,79%
35,Greene,Greene County District Attorney,5,1,4,20%
35,Greene,Greene County Sheriff,3,0,3,0%
35,Greene,"Greene County, Detectives",6,1,5,17%
35,Greene,Southwest Regl Police Dept,17,8,9,47%
35,Greene,Waynesburg Boro Police Dept,77,58,19,75%
36,Franklin,Chambersburg Area School Dist Security Force,10,9,1,90%
36,Franklin,Chambersburg Police Dept,686,638,48,93%
36,Franklin,Franklin County District Attorney,2,2,0,100%
36,Franklin,Franklin County Drug Task Force,45,44,1,98%
36,Franklin,Franklin County Sheriff,21,19,2,90%
36,Franklin,Greencastle Police Dept,59,52,7,88%
36,Franklin,Mercersburg Police Dept,9,9,0,100%
36,Franklin,Shippensburg Police Dept,17,15,2,88%
36,Franklin,Washington Township Police Dept,410,392,18,96%
36,Franklin,Waynesboro Area School District Police,4,4,0,100%
36,Franklin,Waynesboro Police Dept,233,222,11,95%
37,Fayette,Brownsville Police Dept,44,25,19,57%
37,Fayette,Connellsville Police Dept,274,245,29,89%
37,Fayette,"Dept Corrections, Central",2,2,0,100%
37,Fayette,Dunbar Boro Police Dept,1,1,0,100%
37,Fayette,Fairchance Boro Police Dept,1,1,0,100%
37,Fayette,Fayette City Boro Police Dept,5,4,1,80%
37,Fayette,Fayette County District Attorney,31,29,2,94%
37,Fayette,Luzerne Township Police Dept,2,0,2,0%
37,Fayette,Masontown Police Dept,63,50,13,79%
37,Fayette,Perryopolis Police Dept,7,5,2,71%
37,Fayette,Point Marion Boro Police Dept,1,1,0,100%
37,Fayette,Redstone Township Police Dept,73,58,15,79%
37,Fayette,S Connellsville Boro Police Dept,11,9,2,82%
37,Fayette,Southwest Regl Police Dept,33,24,9,73%
37,Fayette,Uniontown City Police Dept,352,305,47,87%
37,Fayette,Washington Township Police Dept,25,23,2,92%
38,Erie,Albion Boro Police Dept,26,16,10,62%
38,Erie,Corry City Police Dept,155,126,29,81%
38,Erie,Edinboro Police Dept,51,37,14,73%
38,Erie,"Edinboro, University PD",29,17,12,59%
38,Erie,Erie City Police Dept,1728,1087,641,63%
38,Erie,Erie County Sheriff,28,11,17,39%
38,Erie,"Erie County, Detectives",21,9,12,43%
38,Erie,"Erie County, Prison",7,2,5,29%
38,Erie,Erie SD Police Dept,3,1,2,33%
38,Erie,"Gannon, University PD",5,2,3,40%
38,Erie,Girard Boro Police Dept,37,26,11,70%
38,Erie,Lake City Boro Police Dept,24,21,3,88%
38,Erie,Lawrence Park Township Police Dept,73,64,9,88%
38,Erie,"Mercyhurst, University PD",1,1,0,100%
38,Erie,Millcreek Police Dept,680,578,102,85%
38,Erie,North East Boro Police Dept,92,64,28,70%
38,Erie,"Penn State Behrend, University PD",7,7,0,100%
38,Erie,Union City Boro Police Dept,23,21,2,91%
38,Erie,Wesleyville Boro Police Dept,71,61,10,86%
39,Elk,Johnsonburg Boro Police Dept,47,27,20,57%
39,Elk,Ridgway Boro Police Dept,65,46,19,71%
39,Elk,St Marys City Police Dept,159,129,30,81%
40,Delaware,Aldan Boro Police Dept,44,36,8,82%
40,Delaware,Aston Township Police Dept,153,140,13,92%
40,Delaware,Bethel Township Police Dept,18,10,8,56%
40,Delaware,Brookhaven Boro Police Dept,96,69,27,72%
40,Delaware,Chester City Police Dept,834,678,156,81%
40,Delaware,Chester Housing Dept Police Dept,2,2,0,100%
40,Delaware,Chester Township Police Dept,132,60,72,45%
40,Delaware,"Cheyney, University PD",17,7,10,41%
40,Delaware,Clifton Hgts Police Dept,111,101,10,91%
40,Delaware,Collingdale Police Dept,139,82,57,59%
40,Delaware,Colwyn Boro Police Dept,11,5,6,45%
40,Delaware,Darby Boro Police Dept,490,458,32,93%
40,Delaware,Darby Township Police Dept,141,98,43,70%
40,Delaware,Delaware County Park Police Dept,43,21,22,49%
40,Delaware,"Delaware County, Cid",213,175,38,82%
40,Delaware,"Dept Corrections, Central",2,2,0,100%
40,Delaware,East Lansdowne Boro Police Dept,37,19,18,51%
40,Delaware,Eddystone Police Dept,238,227,11,95%
40,Delaware,Folcroft Boro Police Dept,100,80,20,80%
40,Delaware,Glenolden Boro Police Dept,112,95,17,85%
40,Delaware,Greencastle Police Dept,1,1,0,100%
40,Delaware,Haverford Township Police Dept,366,341,25,93%
40,Delaware,Lansdowne Boro Police Dept,91,68,23,75%
40,Delaware,Lower Chichester Township Police Dept,87,56,31,64%
40,Delaware,Marcus Hook Boro Police Dept,133,120,13,90%
40,Delaware,Marple Township Police Dept,229,177,52,77%
40,Delaware,Media Boro Police Dept,118,90,28,76%
40,Delaware,Millbourne Boro Police Dept,13,12,1,92%
40,Delaware,Morton Police Dept,92,83,9,90%
40,Delaware,Nether Providence Police Dept,102,75,27,74%
40,Delaware,Newtown Township Police Dept,98,74,24,76%
40,Delaware,Norwood Boro Police Dept,55,31,24,56%
40,Delaware,Parkside Boro Police Dept,21,15,6,71%
40,Delaware,Prospect Park Police Dept,74,59,15,80%
40,Delaware,Radnor Township Police Dept,265,209,56,79%
40,Delaware,Ridley Park Police Dept,42,32,10,76%
40,Delaware,Ridley Township Police Dept,341,295,46,87%
40,Delaware,Sharon Hill Boro Police Dept,89,73,16,82%
40,Delaware,Springfield Police Dept,323,290,33,90%
41,Dauphin,Central Dauphin Area School District Police Department,1,1,0,100%
41,Dauphin,Dauphin County District Attorney,174,149,25,86%
41,Dauphin,Dauphin County Sheriff,10,5,5,50%
41,Dauphin,Derry Township Police Dept,415,373,42,90%
41,Dauphin,Halifax Regional Police Dept,8,5,3,63%
41,Dauphin,Harrisburg Police Dept,2763,2398,365,87%
41,Dauphin,Highspire Boro Police Dept,102,91,11,89%
41,Dauphin,Hummelstown Police Dept,88,84,4,95%
41,Dauphin,Lower Paxton Township Police Dept,600,544,56,91%
41,Dauphin,Lower Swatara Township Police Dept,314,292,22,93%
41,Dauphin,Lykens Boro P D Police Dept,50,33,17,66%
41,Dauphin,Middletown Police Dept,154,120,34,78%
41,Dauphin,Millersburg Boro Police Dept,89,64,25,72%
41,Dauphin,Norfolk Southern Police Dept,12,8,4,67%
41,Dauphin,Paxtang Boro Police Dept,22,15,7,68%
41,Dauphin,Penbrook Police Dept,157,135,22,86%
41,Dauphin,"Penn State, University PD",15,12,3,80%
41,Dauphin,Royalton Boro Police Dept,27,18,9,67%
41,Dauphin,State Capitol Police Dept,173,107,66,62%
41,Dauphin,Steelton Police Dept,203,186,17,92%
41,Dauphin,Susquehanna Township Police Dept,620,583,37,94%
41,Dauphin,Swatara Township Police Dept,1390,1253,137,90%
42,Cumberland,Camp Hill Police Dept,128,125,3,98%
