Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Cambridge Springs Police Dept,9,8,0.8888888888888888,88.88888888888889,Crawford,2015 Q4
Cochranton Boro Police Dept,4,3,0.75,75,Crawford,2015 Q4
Conneaut Lake Regl Police Dept,7,6,0.8571428571428571,85.71428571428571,Crawford,2015 Q4
Conneaut School District PD,1,1,1,100,Crawford,2015 Q4
Meadville City Police Dept,91,78,0.8571428571428571,85.71428571428571,Crawford,2015 Q4
Titusville Police Dept,25,23,0.92,92,Crawford,2015 Q4
Univ Of Pittsburgh Police Dept,1,0,0,0,Crawford,2015 Q4
Vernon Township Police Dept,13,6,0.46153846153846156,46.15384615384615,Crawford,2015 Q4
West Mead Township Police Dept,3,2,0.6666666666666666,66.66666666666666,Crawford,2015 Q4
