Agency,Total,Printed,Match Rate Orig,Rate,County,Release
E Pennsboro Township Police Dept,,,,,Perry,
Marysville Police Dept,6,4,0.6666666666666666,66.66666666666666,Perry,2015 Q1
Penn Township Police Dept,24,18,0.75,75,Perry,2015 Q1
Perry County Drug Task Force,,,,,Perry,
Perry County Sheriff,3,3,1,100,Perry,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
