ID,county,PD,TP,P,NP,rate
,Allegheny,Mt Oliver Boro Police Dept,324,279,45,86%
,Allegheny,Munhall Police Dept,183,158,25,86%
,Allegheny,N Braddock Boro Police Dept,94,80,14,85%
,Allegheny,N Fayette Township Police Dept,129,120,9,93%
,Allegheny,North Versailles Police Dept,458,428,30,93%
,Allegheny,Northern Regl Pd Police Dept,140,135,5,96%
,Allegheny,O'hara Township Police Dept,28,27,1,96%
,Allegheny,Oakdale Police Dept,11,11,0,100%
,Allegheny,Oakmont Boro Police Dept,47,46,1,98%
,Allegheny,Ohio Township Police Dept,192,177,15,92%
,Allegheny,Penn Hills Police Dept,480,433,47,90%
,Allegheny,Penn State Greater Allegheny Campus,4,3,1,75%
,Allegheny,Pitcairn Police Dept,124,105,19,85%
,Allegheny,Pittsburgh Police Dept,7561,6985,576,92%
,Allegheny,Pittsburgh School Police Dept,21,20,1,95%
,Allegheny,Pleasant Hills Police Dept,146,96,50,66%
,Allegheny,Plum Boro Police Dept,200,186,14,93%
,Allegheny,Point Park University Police Dept,8,8,0,100%
,Allegheny,Port Authority Police Dept,347,316,31,91%
,Allegheny,Port Vue Police Dept,35,29,6,83%
,Allegheny,Rankin Boro Police Dept,80,75,5,94%
,Allegheny,Reserve Township Police Dept,26,23,3,88%
,Allegheny,Robert Morris Police Dept,4,4,0,100%
,Allegheny,Robinson Township Police Dept,386,363,23,94%
,Allegheny,Ross Township Police Dept,398,362,36,91%
,Allegheny,S Fayette Township Police Dept,62,59,3,95%
,Allegheny,Scott Township Police Dept,173,159,14,92%
,Allegheny,Sewickley Boro Police Dept,51,47,4,92%
,Allegheny,Sewickley Hgts Police Dept,6,6,0,100%
,Allegheny,Shaler Police Dept,149,128,21,86%
,Allegheny,Sharpsburg Boro Police Dept,93,84,9,90%
,Allegheny,South Park Tn Police Dept,69,61,8,88%
,Allegheny,Springdale Boro Police Dept,56,53,3,95%
,Allegheny,Springdale Township Police Dept,30,29,1,97%
,Allegheny,Stowe Township Police Dept,310,296,14,95%
,Allegheny,Swissvale Police Dept,203,165,38,81%
,Allegheny,Tarentum Boro Police Dept,54,49,5,91%
,Allegheny,Trafford Boro Police Dept,4,4,0,100%
,Allegheny,Turtle Creek Police Dept,110,96,14,87%
,Allegheny,Univ Of Pittsburgh Police Dept,183,167,16,91%
,Allegheny,Upper St Clair Police Dept,75,71,4,95%
,Allegheny,Verona Boro Police Dept,74,65,9,88%
,Allegheny,Versailles Boro Police Dept,27,18,9,67%
,Allegheny,West Deer Township Police Dept,68,66,2,97%
,Allegheny,West Homestead Police Dept,44,38,6,86%
,Allegheny,West Mifflin Police Dept,562,486,76,86%
,Allegheny,West View Boro Police Dept,128,121,7,95%
,Allegheny,Whitaker Police Dept,29,28,1,97%
,Allegheny,White Oak Boro Police Dept,106,89,17,84%
,Allegheny,Whitehall Boro Police Dept,93,82,11,88%
,Allegheny,Wilkins Township Police Dept,67,59,8,88%
,Allegheny,Wilkinsburg Police Dept,362,312,50,86%,,,,,,
60,Armstrong,Apollo Boro Police Dept,46,38,8,83%
,Armstrong,Armstrong County District Attorney,32,15,17,47%
,Armstrong,Armstrong County Sheriff,5,4,1,80%
,Armstrong,"Armstrong County, Detectives",35,19,16,54%
,Armstrong,East Franklin Township Police Dept,67,35,32,52%
,Armstrong,Elderton Borough Police Dept,6,3,3,50%
,Armstrong,Ford City Boro Police Dept,48,23,25,48%
,Armstrong,Freeport Boro Police Dept,4,1,3,25%
,Armstrong,Gilpin Township Police Dept,40,13,27,33%
,Armstrong,Kiskiminetas Township Police Dept,63,53,10,84%
,Armstrong,Kittanning Boro Police Dept,131,65,66,50%
,Armstrong,Leechburg Boro Police Dept,50,40,10,80%
,Armstrong,Manor Township Police Dept,14,5,9,36%
,Armstrong,New Bethlehem Boro Police Dept,19,3,16,16%
,Armstrong,North Buffalo Police Dept,6,1,5,17%
,Armstrong,Parker City Police Dept,1,1,0,100%
,Armstrong,Parks Township Police Dept,31,16,15,52%
,Armstrong,South Buffalo Township Police Dept,3,3,0,100%
,Armstrong,West Kittanning Police Dept,6,3,3,50%
,Armstrong,Worthington Boro Police Dept,7,2,5,29%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,,,,,,,
59,Beaver,Aliquippa City Police Dept,263,256,7,97%
,Beaver,Ambridge Boro Police Dept,237,231,6,97%
,Beaver,Baden Boro Police Dept,88,81,7,92%
,Beaver,Beaver Boro Police Dept,58,56,2,97%
,Beaver,Beaver County Sheriff,20,20,0,100%
,Beaver,"Beaver County, Detectives",60,59,1,98%
,Beaver,Beaver Falls Police Dept,349,332,17,95%
,Beaver,Bridgewater Police Dept,21,21,0,100%
,Beaver,Brighton Township Police Dept,43,41,2,95%
,Beaver,Center Township Police Dept,361,348,13,96%
