Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Clarion Boro Police Dept,15,14,0.9333333333333333,93.33333333333333,Clarion,2015 Q4
Clarion County Sheriff,1,1,1,100,Clarion,2015 Q4
"Clarion County, Detectives",14,13,0.9285714285714286,92.85714285714286,Clarion,2015 Q4
"Clarion, University PD",13,12,0.9230769230769231,92.3076923076923,Clarion,2015 Q4
Emlenton Police Dept,,,,,,
Knox Boro Police Dept,3,3,1,100,Clarion,2015 Q4
New Bethlehem Boro Police Dept,21,19,0.9047619047619048,90.47619047619048,Clarion,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
