PDID,county,PD,TP,P,NP,rate
1,Wyoming,Dalton Boro Police Dept,5,5,0,100%
2,Wyoming,Meshoppen Boro Police Dept,89,77,12,87%
3,Wyoming,Tunkhannock Boro Police Dept,35,29,6,83%
4,Wyoming,Tunkhannock Township Police Dept,75,63,12,84%
5,Wyoming,Wyoming County Sheriff,13,9,4,69%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
