PDID,county,PD,TP,P,NP,rate
4,Warren,Conewango Township Police Dept,161,152,9,94%
4,Warren,Sheffield Police Dept,5,3,2,60%
4,Warren,Tidioute Police Dept,111,96,15,86%
4,Warren,Warren City Police Dept,104,90,14,87%
4,Warren,"Warren County, Detectives",12,10,2,83%
4,Warren,Youngsville Police Dept,27,24,3,89%
