Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Johnsonburg Boro Police Dept,10,7,0.7,70,Elk,2015 Q4
Ridgway Boro Police Dept,13,5,0.38461538461538464,38.46153846153847,Elk,2015 Q4
St Marys City Police Dept,37,33,0.8918918918918919,89.1891891891892,Elk,2015 Q4
